link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/neon-and-nylon-neoperle-rouching-dress-day-dress-cloud-dancer-n3p21c003-b11.html,Neon & Nylon,NEOPERLE ROUCHING DRESS , Day dress,summer-dresses,Â£29.74,cloud dancer,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,Button,--,Print,--,N3P21C003-B11,Short,"25.5 "" (Size S)","33.0 "" (Size S)",Regular Fit,--,"16.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-blue-floral-gp021c0kw-k12.html,GAP,CAP SLEEVE BUTTON FRONT , Day dress,summer-dresses,Â£46.74,blue floral,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Floral,Button row,GP021C0KW-K12,Short,Short,"34.0 "" (Size 10)",Regular Fit,--,"14.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-blue-floral-gp021c0kw-k12.html,GAP,CAP SLEEVE BUTTON FRONT , Day dress,summer-dresses,Â£46.74,dark blue/white,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Floral,Button row,GP021C0KW-K12,Short,Short,"34.0 "" (Size 10)",Regular Fit,--,"14.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-blue-floral-gp021c0kw-k12.html,GAP,CAP SLEEVE BUTTON FRONT , Day dress,summer-dresses,Â£46.74,true black,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Floral,Button row,GP021C0KW-K12,Short,Short,"34.0 "" (Size 10)",Regular Fit,--,"14.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-kalamata-jy121c0kz-n11.html,JDY,JDYPENELOPE DRESS , Day dress,summer-dresses,Â£23.99,kalamata,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,Cache-coeur,Floral,Slip,JY121C0KZ-N11,Short,"24.5 "" (Size 8)","32.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-kalamata-jy121c0kz-n11.html,JDY,JDYPENELOPE DRESS , Day dress,summer-dresses,Â£23.99,black/grey,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,Cache-coeur,Floral,Slip,JY121C0KZ-N11,Short,"24.5 "" (Size 8)","32.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-kalamata-jy121c0kz-n11.html,JDY,JDYPENELOPE DRESS , Day dress,summer-dresses,Â£23.99,sea spray/peach,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,Cache-coeur,Floral,Slip,JY121C0KZ-N11,Short,"24.5 "" (Size 8)","32.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/derhy-ainoa-robe-day-dress-bleupetrole-rd521c0lf-k11.html,Derhy,AINOA ROBE , Day dress,summer-dresses,Â£99.99,bleu/petrole,--,--,--,--,100% viscose,100% cotton,"Do not tumble dry, Hand wash only",Turn-down collar,--,--,Button,--,--,"Belt included, slip",RD521C0LF-K11,Short,"19.5 "" (Size S)","36.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/saint-tropez-edasz-solid-dress-day-dress-blue-deep-s2821c08e-k11.html,Saint Tropez,EDASZ SOLID DRESS , Day dress,summer-dresses,Â£34.99,blue deep,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,--,Low-cut v-neck,Plain,--,S2821C08E-K11,Knee-length,"16.5 "" (Size S)","39.5 "" (Size S)",Normal fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/saint-tropez-edasz-solid-dress-day-dress-blue-deep-s2821c08e-k11.html,Saint Tropez,EDASZ SOLID DRESS , Day dress,summer-dresses,Â£34.99,black,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,--,Low-cut v-neck,Plain,--,S2821C08E-K11,Knee-length,"16.5 "" (Size S)","39.5 "" (Size S)",Normal fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
